age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
26.0,1,0,1,yes,no,9982.0,high school,,someone else,0,pretty happy,routine
44.0,0,0,0,no,,,lt high school,,someone else,1,pretty happy,
68.0,1,1,0,yes,,,lt high school,,someone else,0,very happy,
57.0,1,1,0,yes,no,17242.0,high school,,someone else,0,pretty happy,routine
48.0,1,0,1,yes,yes,,bachelor,journalism,someone else,0,pretty happy,routine
36.0,1,0,1,yes,,,graduate,education,self-employed,1,pretty happy,
55.0,0,0,1,yes,yes,,bachelor,communications/speech,self-employed,1,not too happy,exciting
69.0,1,0,1,yes,yes,39930.0,high school,,someone else,1,very happy,routine
75.0,0,0,1,yes,,9982.0,bachelor,accounting/bookkeeping,someone else,0,very happy,routine
51.0,1,0,1,yes,yes,13612.0,graduate,education,someone else,0,pretty happy,routine
44.0,1,0,0,yes,yes,,lt high school,,someone else,0,pretty happy,exciting
49.0,1,0,1,yes,,,high school,,someone else,0,not too happy,
48.0,1,0,1,yes,no,,high school,,someone else,0,pretty happy,routine
34.0,1,0,0,yes,,72600.0,bachelor,business administration,someone else,1,pretty happy,
44.0,1,1,0,yes,,,junior college,nursing,someone else,0,very happy,
77.0,1,1,0,yes,,,lt high school,,,0,very happy,
47.0,0,1,0,yes,yes,,high school,,someone else,0,pretty happy,exciting
58.0,0,1,0,yes,yes,,high school,,someone else,0,very happy,exciting
83.0,1,1,0,yes,no,,high school,,someone else,0,pretty happy,routine
23.0,0,0,1,yes,yes,,high school,,,0,not too happy,routine
79.0,1,0,1,yes,no,,bachelor,education,someone else,0,pretty happy,exciting
40.0,0,0,1,yes,yes,49005.0,high school,,someone else,0,very happy,routine
27.0,0,1,0,yes,yes,23595.0,high school,,someone else,0,not too happy,routine
66.0,1,0,1,yes,,13612.0,junior college,general sciences,someone else,1,pretty happy,
27.0,1,0,1,yes,yes,11798.0,high school,,someone else,1,pretty happy,routine
28.0,1,0,0,no,,9982.0,high school,,someone else,0,pretty happy,
39.0,0,0,0,no,yes,72600.0,graduate,information technology,someone else,0,very happy,exciting
27.0,0,0,1,yes,,17242.0,bachelor,biology,someone else,0,pretty happy,
28.0,0,0,1,yes,yes,59895.0,high school,,someone else,0,pretty happy,exciting
50.0,0,1,0,yes,,49005.0,bachelor,english,someone else,0,pretty happy,
30.0,0,1,0,yes,no,32670.0,high school,,someone else,1,very happy,exciting
68.0,1,0,1,yes,yes,,high school,,someone else,0,pretty happy,dull
60.0,1,1,0,yes,no,17242.0,high school,,someone else,0,not too happy,routine
48.0,1,1,0,no,no,17242.0,high school,,someone else,0,not too happy,exciting
27.0,0,1,0,yes,no,39930.0,high school,,someone else,0,pretty happy,routine
79.0,0,1,0,yes,,,lt high school,,someone else,0,pretty happy,
32.0,0,0,0,yes,no,4719.0,high school,,self-employed,1,pretty happy,exciting
21.0,0,1,0,yes,no,,high school,,someone else,1,pretty happy,routine
42.0,0,0,1,no,,72600.0,lt high school,,self-employed,0,pretty happy,
40.0,0,0,0,no,yes,32670.0,high school,,someone else,0,pretty happy,exciting
44.0,0,0,1,yes,,,lt high school,,self-employed,0,not too happy,
36.0,1,1,0,no,,4719.0,bachelor,social work,someone else,0,pretty happy,
51.0,1,0,1,no,no,,lt high school,,someone else,0,very happy,exciting
